Business DBA,Business Type,Location 1
FIORELLA'S JACK STACK OF MARTIN CITY,RESTAURANT-BAR,"13441 HOLMES ROAD
64145
(38.88330113900048, -94.58647071399969)"
FIORELLA'S PRIVATE DINING & CATERING,RESTAURANT-BAR,"13645 HOLMES
64145
(38.87862934500049, -94.58679940699966)"
FLYING SAUCER,RESTAURANT-BAR,"101 13TH STREET
64106
(39.09852509900048, -94.58204310499968)"
FOGO DE CHAO,RESTAURANT-BAR,"222 47TH STREET
64112
(39.04227853900045, -94.58956365399968)"
FRED P OTT'S BAR & GRILL,RESTAURANT-BAR,"4770 J C NICHOLS PARKWAY
64112
(39.041209782000465, -94.58811249799965)"
FREEBIRDS WORLD BURRITO,RESTAURANT-BAR,"554 WESTPORT
64111
(39.052156788000445, -94.5929912419997)"
FRIC AND FRAC  RESTAURANT,RESTAURANT-BAR,"1700 39TH STREET
64111
(39.05728079800048, -94.60527020099966)"
FRIENDS SUSHI & BENTO PLACE,RESTAURANT-BAR,"1808 39TH STREET
64111
(39.05733801600047, -94.60646384099965)"
FUZZY'S TACO SHOP,RESTAURANT-BAR,"10157 WORNALL ROAD
64114
(38.94387443800048, -94.59648472599969)"
"GALLERY,THE - THE KILL DEVIL CLUB",RESTAURANT-BAR,"61 14TH STREET
64106
(39.09719575000048, -94.58245377899965)"
GAMBAL'S / FIREFLY,RESTAURANT-BAR,"4116 4118
PENNSYLVANIA 64111
(39.05550273500046, -94.59306944999969)"
GAROZZO'S RISTORANTE,RESTAURANT-BAR,"526 HARRISON AVENUE
64106
(39.109390464000455, -94.57185055599967)"
GATES BAR-B-Q,RESTAURANT-BAR,"1325 EMANUEL CLEAVER II BLVD
64110
(39.04165008700045, -94.56944113299966)"
GATES BAR-B-Q (3),RESTAURANT-BAR,"3205 MAIN STREET
64111
(39.06899029100049, -94.5853806559997)"
GATES BAR-B-Q 1,RESTAURANT-BAR,"1221 BROOKLYN AVENUE
64127
(39.09871190700045, -94.5560086429997)"
"GENESSEE ROYALE, THE",RESTAURANT-BAR,"1531 GENESSEE
64102
(39.09574281200048, -94.60482808799969)"
GENGHIS KHAN MONGOLIAN GRILL,RESTAURANT-BAR,"3906 BELL AVENUE
64111
(39.05710249200047, -94.60614417299968)"
GOJO JAPANESE STEAK HOUSE,RESTAURANT-BAR,"4163 BROADWAY BLVD
64111
(39.051340782000466, -94.58901034499968)"
"GOLDEN OX, THE",RESTAURANT-BAR,"1600 TENNESSEE
64102
(39.09560279100049, -94.60479661999966)"
GORDON BIERSCH BREWERY RESTAURANT,RESTAURANT-BAR,"100 14TH STREET
64106
(39.097234572000445, -94.58209895499965)"
GOVERNOR STUMPY'S BAR AND GRILL,RESTAURANT-BAR,"321 GREGORY BLVD
64114
(38.99954740600049, -94.59352523599966)"
GRAM & DUN,RESTAURANT-BAR,"600 WARD PARKWAY
64112-2104
(39.04014583100047, -94.59396904399966)"
GRAND STREET CAFE,RESTAURANT-BAR,"4740 GRAND AVENUE
64112
(39.04129057500046, -94.58523085799965)"
GRANDMA'S BAR & GRILL,RESTAURANT-BAR,"1615 GENESSEE
64102
(39.09414000600049, -94.60496023699966)"
"GRANFALLOON, THE",RESTAURANT-BAR,"608 WARD PARKWAY
64112
(39.04002844600046, -94.59465624299969)"
GRANITE CITY FOOD & BREWERY,RESTAURANT-BAR,"8461 PRAIRIE VIEW ROAD
64153
(39.248071833000495, -94.66110424699968)"
GREEN ROOM BURGERS & BEER,RESTAURANT-BAR,"4010 PENNSYLVANIA
64111
(39.054690467000455, -94.59291081999964)"
GRINDER'S PIZZA,RESTAURANT-BAR,"415 417 E 18TH STREET
64108
(39.091630335000445, -94.57811090599967)"
GROOVE STATION,RESTAURANT-BAR,"9916 HOLMES ROAD
64131
(38.94788724600045, -94.58241211699965)"
GRUNAUER RESTAURANT & BAR,RESTAURANT-BAR,"101 22ND STREET
64108
(39.08774260400048, -94.58499061199967)"
G'S JAMAICAN QUISINE INC.,RESTAURANT-BAR,"7940 TROOST AVENUE
64131
(38.982987885000455, -94.57613928999967)"
GUADALAJARA CAFE,RESTAURANT-BAR,"1144 103RD STREET
64114
(38.94201197700045, -94.60589107399966)"
HAMBURGER MARY'S,RESTAURANT-BAR,"101 SOUTHWEST BLVD
64108
(39.09030060100048, -94.5850407319997)"
HAMPTON INN AND SUITES-PLAZA,RESTAURANT-BAR,"4600 SUMMIT STREET
64112
(39.04338081600048, -94.59617062699965)"
HAPPY GILLIS CAFE & HANGOUT,RESTAURANT-BAR,"549 GILLIS STREET
64106
(39.108941073000494, -94.57040098499965)"
HARPOS,RESTAURANT-BAR,"4109 PENNSYLVANIA AVENUE
64111
(39.05246846200049, -94.5910898629997)"
HARRY'S BAR AND TABLES,RESTAURANT-BAR,"501 WESTPORT ROAD
64111
(39.05280072400046, -94.59154075699968)"
HARRY'S COUNTRY CLUB,RESTAURANT-BAR,"112 MISSOURI AVENUE
64106
(39.107761137000466, -94.58055028699965)"
HARU SUSHI,RESTAURANT-BAR,"13133 STATE LINE ROAD
64145
(38.89013368900049, -94.60792939099969)"
HARVEY'S OPERATED BY BRANCATOS CATERING II,RESTAURANT-BAR,"30 PERSHING ROAD
64108
(39.084110541000484, -94.58426063699966)"
HEART OF AMERICA CATERING.,RESTAURANT-BAR,"11730 AMBASSADOR DRIVE
64153
(39.305781133000494, -94.68215137199968)"
HEREFORD HOUSE ZONA ROSA,RESTAURANT-BAR,"8661 STODDARD AVENUE
64153
(39.25122180200049, -94.66465140899965)"
HI DIVE LOUNGE,RESTAURANT-BAR,"1411 39TH STREET
64111
(39.05721050900047, -94.60311082399966)"
HICKOK'S,RESTAURANT-BAR,"528 WALNUT
64106
(39.10779109600048, -94.58138108399964)"
HILTON KANSAS CITY,RESTAURANT-BAR,"8801 112TH STREET
64153
(39.296600629000466, -94.68294094699968)"
HOLIDAY INN AT THE PLAZA,RESTAURANT-BAR,"1 45TH STREET
64111
(39.04562085200047, -94.58657096299964)"
HOLIDAY INN KANSAS CITY,RESTAURANT-BAR,"9103 39TH STREET
64133
(39.052450430000476, -94.47237056099965)"
HOLIDAY- INN KANSAS CITY NORTHEAST,RESTAURANT-BAR,"7333 PARVIN ROAD
64117
(39.16838040800047, -94.49561094499967)"
HOLIDAY INN KCI,RESTAURANT-BAR,"11728 AMBASSADOR DRIVE
64153
(39.305748492000475, -94.68215137199968)"
HOOTERS OF NORTH KANSAS  CITY,RESTAURANT-BAR,"6411 BARRY ROAD
64154
(39.2468300970005, -94.65348054299966)"
HOST INTERNATIONAL- TERMINAL B,RESTAURANT-BAR,"56 ROME CIRCLE
64153
(39.29365006800049, -94.7188183459997)"
